OLASI SORULAR - PINAR AGENT 35 YAŞINDA ATİNADA YAŞIYOR,CEVAPLAR 
,
Oturum izni minimum rakamları nelerdir ? ,"Yunanistan yatırım yoluyla oturum izni (Golden Visa) programı, ülkeye belirli bir tutarda yatırım yapan yabancı uyruklu kişilere oturum hakkı tanıyan bir sistemdir. 2024 yılında yapılan düzenlemelerle yatırım tutarları bölgelere göre farklılık göstermeye başlamıştır. Popüler bölgelerde – özellikle Atina ve Attika bölgesi, Selanik, Mikonos, Santorini ve nüfusu 3.100’ün üzerinde olan adalarda – asgari yatırım tutarı 800.000 Euro olarak belirlenmiştir. Bu bölgelerde genellikle yüksek talep ve gayrimenkul fiyatlarının artması nedeniyle tutar yükseltilmiştir. Diğer bölgelerde, yani büyük şehirler ve turistik merkezler dışında kalan yerlerde, asgari yatırım miktarı 400.000 Euro olarak uygulanmaktadır. Bu tutar, yatırımcılara daha düşük maliyetli ancak aynı oturum hakkını sağlayan bir alternatif sunar. Ayrıca, belirli durumlarda – örneğin ticari bir mülkün konuta dönüştürülmesi veya bir yapının restore edilmesi gibi projelerde – asgari yatırım bedeli 250.000 Euro olarak kalmaya devam etmektedir. Bu istisna, özellikle yatırım amaçlı renovasyon veya dönüşüm projelerini teşvik etmek için uygulanmaktadır. Yatırımcı oturum izni, 5 yıllık süreyle verilir ve mülkün mülkiyeti devam ettiği sürece aynı koşullarda yenilenebilir. Programa başvuran yatırımcı, eşi, 21 yaş altı çocukları ve ebeveynleri de oturum hakkından yararlanabilir. Yunanistan’da bu izinle çalışma hakkı bulunmaz ancak serbest dolaşım sayesinde Schengen bölgesine vizesiz giriş çıkış yapılabilir."
Yunanistan Oturum İzninden Hangi Aile Fertleri Faydalanabilir ? ,"Yunanistan yatırım yoluyla oturum izni (Golden Visa) programında, ana başvuru sahibinin ailesi de bu haktan yararlanabilir. Program oldukça kapsayıcıdır ve birden fazla aile ferdine oturum izni verilmesine olanak tanır. Oturum izninden yararlanabilecek aile fertleri şunlardır: Eş veya resmi olarak evli partner Evlilik bağı resmî olmalıdır. Bazı durumlarda, kayıtlı birliktelik (civil partnership) belgeleri de kabul edilir. Çocuklar 21 yaşın altındaki biyolojik veya evlat edinilmiş çocuklar. 21 yaşından büyük olup ebeveyne ekonomik olarak bağımlı olan öğrenciler de dahil edilebilir.
Ebeveynler Hem ana başvuru sahibinin hem de eşinin anne ve babası programa dahil edilebilir. Yaş sınırı bulunmaz; bağımlılık şartı aranmaz. Bu kişilerin tamamı ana başvuru sahibiyle birlikte aynı süreli (5 yıl) oturum izni alır. Yenileme aşamasında, başvuru sahibinin yatırımı devam ettiği sürece tüm aile fertlerinin izinleri de yenilenebilir. Aile üyeleri Yunanistan’da yasal olarak ikamet edebilir, sağlık hizmetlerinden yararlanabilir ve eğitim alabilirler. Ancak, yatırımcı ve ailesi bu izinle çalışma hakkına sahip değildir; yalnızca oturum ve seyahat hakkı tanınır."
Özetle satın alma süreci ,Bütçe ve Bölge Belirleme   -  Yunan Vergi Numarası (AFM) Alma  -   Gayrimenkul Seçimi ve Tapu Kontrolü  -    Satın Alma Sözleşmesi   - Tapunun Tescili (Land Registry)  - Oturum İzni Başvurusu eğer istenirse diğer aile bireyleri ile birlikte başvuru gerçekleşebilir   - Biyometrik Verilerin Verilmesi  - Oturum Kartının Onayı ve                                                                                               Banka Hesabı Açma
"Vizem yok , Yunanistan'a Nasıl Gelebilirim","Vizeniz olmadan Yunanistan’a doğrudan giriş yapmanız mümkün değildir, çünkü Yunanistan Schengen bölgesindedir ve Türkiye vatandaşlarının ülkeye girebilmesi için geçerli bir Schengen vizesi veya ulusal D tipi vize gerekir. Ancak yatırım sürecini başlatmak için ülkeye fiziksel olarak gitmeniz zorunlu değildir."
Yunanistan'a gelmeden işlem yapabilir miyim ?,"Yunanistan’a Gelmeden Oturum İzni Süreci Nasıl İşler?

Vekaletname (Power of Attorney – Πληρεξούσιο) Türkiye’deki bir noterde Yunanca hazırlanmış vekaletname düzenlenir. Bu belgeye apostil şerhi eklenir ve Yunanistan’daki avukatınıza gönderilir. Avukatınız sizin adınıza tüm yasal işlemleri (vergi numarası, banka hesabı, tapu işlemleri, başvuru vb.) yürütme yetkisine sahip olur. Yunan Vergi Numarası (AFM) Alınması Avukatınız sizin adınıza Αριθμός Φορολογικού Μητρώου (ΑΦΜ) alabilir. Bu, mülk satın alabilmek için zorunludur. Banka Hesabı Açılması Bazı Yunan bankaları uzaktan hesap açılışına izin verir. Gerekli belgeler: pasaport, gelir belgesi, adres kanıtı.

Gayrimenkul Seçimi ve Satın Alma Mülk seçimi uzaktan yapılabilir (fotoğraf, video veya sanal tur ile). Avukat, tapu kayıtlarını kontrol eder ve satın alma işlemini sizin adınıza tamamlar. Tapu devri, noter huzurunda vekaletle yapılabilir. Oturum İzni Başvurusu (Residence Permit Application)

Tapu ve diğer belgelerle birlikte başvuru, avukatınız tarafından yapılır. Siz Yunanistan’da olmasanız da sistem üzerinden dosya teslim edilir. Bu aşamada geçici bir Blue Certificate (geçici oturum hakkı belgesi) düzenlenir. Biyometrik Verilerin Verilmesi (Tek Zorunlu Aşama)

Yalnızca parmak izi ve fotoğraf işlemleri için Yunanistan’a kısa bir ziyaret gerekir. Bu işlem ortalama 1–2 gün sürer. Oturum Kartının Onayı ve Teslimi Başvuru onaylandıktan sonra kart hazırlanır. Dilersen kart teslimini de vekaletle avukatınız alabilir."
Oturma izni ile şirket kurabilir miyim?,"Evet, oturum kartınızı aldıktan sonra Yunanistan'da şirket kurabilirsiniz."
Geldiğimizde siz mi bizi gezdiyirosunuz yoksa kendimiz mi geziyoruz ,"Evet, geldiğinizde biz ilgileniyoruz. Mesai saatleri içinde sizi havalimanından alıyoruz ve evleri biz gezdiriyoruz. Tüm süreci birlikte yürütüyoruz, yalnız kalmıyorsunuz.”"
Boşanma durumunda oturma izni süreci nasıl devam eder?,"Boşanma durumunda mülk kimin adına kayıtlıysa oturum izni o kişi için devam eder, diğer eşin oturum hakkı sona erer. Ortak mülkiyet varsa kimin mülkiyeti devraldığı belirleyici olur. Çocukların ise program kapsamında hakları devam eder. "
Parayı nasıl göndereceğiz ,"Ödemeyi Türkiye’den yapıyorsunuz. Öncelikle satın alma sözleşmesi imzalanıyor ve bu sözleşme karşılığında bir ön ödeme yapılıyor. Daha sonra noter huzurunda nihai satış işlemi gerçekleştiriliyor ve kalan tutar satıcının Yunanistan’daki hesabına gönderiliyor. Yani tüm ödemeler resmi şekilde, banka üzerinden yapılıyor."
